sector,weight_sum,as_of_date,etf_code
1차 비철금속 제조업,0.004566591745650625,2025-12-01,069500
1차 철강 제조업,0.013748586877485364,2025-12-01,069500
"건축기술, 엔지니어링 및 관련기술 서비스업",0.0023087981590684103,2025-12-01,069500
고무제품 제조업,0.0025345378180964533,2025-12-01,069500
그외 기타 개인 서비스업,0.0026988186686913527,2025-12-01,069500
금융지원 서비스업,0.010078601827118387,2025-12-01,069500
기초 의약물질 및 생물학적 제제 제조업,0.02560474909812932,2025-12-01,069500
기초화학물질 제조업,0.012811921364893248,2025-12-01,069500
기타 금융업,0.13337930122004035,2025-12-01,069500
기타 운송관련 서비스업,0.0034808635740319516,2025-12-01,069500
기타 전문 도매업,0.013015807322737436,2025-12-01,069500
기타 화학제품 제조업,0.009768906902556173,2025-12-01,069500
담배 제조업,0.00748167887588463,2025-12-01,069500
동물용 사료 및 조제식품 제조업,0.004594381486775424,2025-12-01,069500
무기 및 총포탄 제조업,0.0028961825444348225,2025-12-01,069500
반도체 제조업,0.17093148387905208,2025-12-01,069500
보험업,0.018927914058059107,2025-12-01,069500
상품 종합 도매업,0.0010917398299028133,2025-12-01,069500
상품 중개업,0.001418600118370686,2025-12-01,069500
석유 정제품 제조업,0.006740278830012275,2025-12-01,069500
선박 및 보트 건조업,0.024439848521183673,2025-12-01,069500
소프트웨어 개발 및 공급업,0.006348159911365623,2025-12-01,069500
오디오물 출판 및 원판 녹음업,0.003623631005987381,2025-12-01,069500
유원지 및 기타 오락관련 서비스업,0.0011767235049044602,2025-12-01,069500
은행 및 저축기관,0.0074167794328360345,2025-12-01,069500
의약품 제조업,0.005923562914315975,2025-12-01,069500
일반 목적용 기계 제조업,0.020142609313999808,2025-12-01,069500
일차전지 및 축전지 제조업,0.024204183954611058,2025-12-01,069500
자동차 부품 제조업,0.01099982229311257,2025-12-01,069500
자동차용 엔진 및 자동차 제조업,0.03637246088679953,2025-12-01,069500
"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개서비스업",0.029445177894061734,2025-12-01,069500
자연과학 및 공학 연구개발업,0.002220003319569648,2025-12-01,069500
전기업,0.009508061427699046,2025-12-01,069500
전기통신업,0.013301735402032918,2025-12-01,069500
"전동기, 발전기 및 전기 변환 · 공급 · 제어 장치 제조업",0.019168115725223527,2025-12-01,069500
전자부품 제조업,0.013885546820683286,2025-12-01,069500
절연선 및 케이블 제조업,0.0014269181361223264,2025-12-01,069500
정기 항공 운송업,0.0031971246457720153,2025-12-01,069500
철도장비 제조업,0.007373809309314493,2025-12-01,069500
"컴퓨터 프로그래밍, 시스템 통합 및 관리업",0.0036950903403082922,2025-12-01,069500
토목 건설업,0.002837200236741372,2025-12-01,069500
통신 및 방송 장비 제조업,0.27566511994764975,2025-12-01,069500
특수 목적용 기계 제조업,0.004639639065178667,2025-12-01,069500
"항공기,우주선 및 부품 제조업",0.021478747629114454,2025-12-01,069500
해상 운송업,0.0034301841604215022,2025-12-01,069500
