member_code,member_name,is_global
99999,외국계합,1
00038,ABN,1
00065,BNG증권,0
00086,BS증권,0
00041,CLSA,1
00042,CS증권,1
00046,HI증권,0
00022,HMC증권,0
00068,IBK증권,0
00034,KB투자,0
00072,LIG증권,0
00028,NH증권,0
00025,SK,0
00043,UBS,1
00045,골드만,1
00001,교보,0
00054,노무라,1
00047,뉴엣지,1
00061,다이와,1
00004,대신,0
00005,대우,0
00058,도이치증권,1
00031,동부,0
00024,동양,0
00052,리딩,0
00035,맥쿼리,1
00010,메리츠,0
00044,메릴린치,1
00036,모건스탠리,1
00049,미래에셋,0
00069,바로증권,0
00062,바클레이즈,1
00013,부국,0
00029,브릿지증권,0
00067,비엔피,1
00030,삼성,0
00027,솔로몬,0
00074,스탠차증,0
00006,신영,0
00002,신한금융,0
00037,씨티그룹,1
00075,아이앤지,0
00073,애플증권,0
00048,에스지,1
99999,외국계합,1
00012,우리투자,0
00008,유진증권,0
00023,유화,0
00063,이트레이드,0
00033,제이피모간,1
00071,케이티비,0
00064,코리아RB,0
00050,키움증권,0
00070,토러스,0
00055,푸르덴셜,0
00056,하나대투,0
00003,한국증권,0
00083,한맥투증,0
00009,한양,0
00021,한화,0
00017,현대,0
00040,홍콩상하이,1
00066,흥국증권,0
